Insp_PecGewicht,Insp_OnderGrens,Insp_Gemiddeld,Insp_BovenGrens
0,535.2,537.2,539.2
1,535.1,537.1,539.1
2,534.9,536.9,538.9
3,534.8,536.8,538.8
4,534.6,536.6,538.6
5,534.5,536.5,538.5
6,534.3,536.3,538.3
7,534.2,536.2,538.2
8,534,536,538
9,533.9,535.9,537.9
10,533.7,535.7,537.7
11,533.5,535.5,537.5
12,533.4,535.4,537.4
13,533.2,535.2,537.2
14,533.1,535.1,537.1
15,532.9,534.9,536.9
16,532.8,534.8,536.8
17,532.6,534.6,536.6
18,532.4,534.4,536.4
19,532.3,534.3,536.3
20,532.1,534.1,536.1
21,532,534,536
22,531.8,533.8,535.8
23,531.6,533.6,535.6
24,531.5,533.5,535.5
25,531.3,533.3,535.3
26,531.2,533.2,535.2
27,531,533,535
28,530.9,532.9,534.9
29,530.7,532.7,534.7
30,530.6,532.6,534.6
31,530.4,532.4,534.4
32,530.3,532.3,534.3
33,530.1,532.1,534.1
34,530,532,534
35,529.9,531.9,533.9
36,529.7,531.7,533.7
37,529.6,531.6,533.6
38,529.4,531.4,533.4
39,529.3,531.3,533.3
40,529.2,531.2,533.2
41,529,531,533
42,528.9,530.9,532.9
43,528.8,530.8,532.8
44,528.7,530.7,532.7
45,528.5,530.5,532.5
46,528.4,530.4,532.4
47,528.3,530.3,532.3
48,528.2,530.2,532.2
49,528.1,530.1,532.1
50,528,530,532
51,527.9,529.9,531.9
52,527.8,529.8,531.8
53,527.7,529.7,531.7
54,527.6,529.6,531.6
55,527.5,529.5,531.5
56,527.4,529.4,531.4
57,527.4,529.4,531.4
58,527.3,529.3,531.3
59,527.2,529.2,531.2
60,527.2,529.2,531.2
61,527.1,529.1,531.1
62,527,529,531
63,527,529,531
64,526.9,528.9,530.9
65,526.9,528.9,530.9
66,526.8,528.8,530.8
67,526.8,528.8,530.8
68,526.8,528.8,530.8
69,526.8,528.8,530.8
70,526.7,528.7,530.7
71,526.7,528.7,530.7
72,526.7,528.7,530.7
73,526.7,528.7,530.7
74,526.7,528.7,530.7
75,526.7,528.7,530.7
76,526.7,528.7,530.7
77,526.7,528.7,530.7
78,526.7,528.7,530.7
79,526.7,528.7,530.7
80,526.7,528.7,530.7
81,526.7,528.7,530.7
82,526.7,528.7,530.7
83,526.7,528.7,530.7
84,526.7,528.7,530.7
85,526.7,528.7,530.7
86,526.7,528.7,530.7
87,526.7,528.7,530.7
88,526.7,528.7,530.7
89,526.7,528.7,530.7
90,526.7,528.7,530.7
91,526.7,528.7,530.7
92,526.7,528.7,530.7
93,526.7,528.7,530.7
94,526.7,528.7,530.7
95,526.7,528.7,530.7
96,526.7,528.7,530.7
97,526.7,528.7,530.7
98,526.7,528.7,530.7
99,526.7,528.7,530.7
100,526.7,528.7,530.7
