Wijk_WijkNr,Wijk_WijkNaam,Wijk_StdNr,Wijk_CBS-WijkCode
101,Centrum Almere Haven,1,
102,De Werven,1,
103,De Hoven,1,
104,De Meenten,1,
105,De Grienden,1,
106,De Marken,1,
107,De Gouwen,1,
108,De Wierden,1,
109,De Velden,1,
110,Overgooi,1,
171,De Steiger,1,
173,Stichtsekant,1,
199,Nog niet ingedeeld Haven,1,
201,Centrum Almere Stad,2,
202,Filmwijk,2,
203,Danswijk,2,
204,Parkwijk,2,
205,Verzetswijk,2,
206,Waterwijk,2,
207,Tussen de Vaarten Noord,2,
208,Tussen de Vaarten Zuid,2,
209,Staatsliedenwijk,2,
210,Kruidenwijk,3,
211,Stedenwijk,3,
212,Muziekwijk Noord,3,
213,Muziekwijk Zuid,3,
214,Literatuurwijk,3,
215,Noorderplassen Oost,3,
216,Noorderplassen West,3,
271,Randstad,3,
272,Markerkant,3,
273,Hollandsekant,3,
274,Gooisekant,3,
275,Veluwsekant,3,
276,Sallandsekant,3,
299,Nog niet ingedeeld Stad,3,
301,Centrum Almere Buiten,4,
302,Oostvaardersbuurt,4,
303,Seizoenenbuurt,4,
304,Molenbuurt,4,
305,Bouwmeesterbuurt,4,
306,Landgoederenbuurt,4,
307,Faunabuurt,4,
308,Bloemenbuurt,4,
309,Regenboogbuurt,4,
310,Indischebuurt,4,
311,Eilandenbuurt,4,
312,Stripheldenbuurt,4,
313,Sieradenbuurt,4,
371,Poldervlak,4,
372,De Vaart,4,
373,Buitenvaart,4,
399,Nog niet ingedeeld Buiten,4,
401,Europakwartier,5,
402,Columbuskwartier,5,
403,Homeruskwartier,5,
404,Olympiakwartier,5,
405,Almeerderzand,5,
471,Hogekant,5,
472,Middenkant,5,
473,Lagekant,5,
499,Nog niet ingedeeld Poort,5,
502,Vogelhorst,6,
599,Nog niet ingedeeld Hout,6,
699,Nog niet ingedeeld Pampus,,
9999,Postcode onbekend,,
